name,reviews_count,fuelType,engine_displacement,no_cylinder,seats,transmission_type,fuel_tank_capacity,typeId,rating,minPrice,maxPrice,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,imageUrl,brandId,year,country
Land Rover Range Rover,17,Petrol,4367,8,7.0,Automatic,90.0,SUV,4.5,265556,463333,700.0,3000,345.98,4000,https://i0.wp.com/leseco.ma/wp-content/uploads/2021/11/Land-Rover.jpg?fit=1200%2C600&ssl=1,Land Rover,2022,UK
Land Rover Range Rover Sport,7,Diesel,2997,6,5.0,Automatic,0.0,SUV,4.5,182222,204444,700.0,3000,345.98,4000,https://media.cdn-jaguarlandrover.com/api/v2/images/104491/w/1600.jpg,Land Rover,2022,UK
Land Rover Range Rover Velar,35,Petrol,1997,4,5.0,Automatic,82.0,SUV,4.5,99344,99344,365.0,4000,246.74,5500,"https://images.dealer.com/ddc/vehicles/2025/Land%20Rover/Range%20Rover%20Velar/SUV/color/Arroios%20Gray%20Metallic-1FU-140,143,144-640-en_US.jpg",Land Rover,2022,UK
Lexus ES,31,Petrol,2487,4,5.0,Automatic,65.0,Sedan,4.5,66111,72889,202.0,5200,214.56,5700,https://autohub.ma/wp-content/uploads/2024/11/lexus-es-2025.jpg,Lexus,2023,Japan
Lexus LC 500h,1,Petrol,3456,6,4.0,Automatic,82.0,Coupe,4.5,250000,278889,350.0,5100,295.02,6600,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/1200px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg,Lexus,2023,Japan
Lexus LS,3,Petrol,3456,6,4.0,Automatic,82.0,Sedan,4.5,212222,246667,350.0,5100,354.0,6600,"https://hips.hearstapps.com/hmg-prod/images/2025-lexus-ls-500-f-sport-awd-101-67e30ab19aa60.jpg?crop=0.620xw:0.524xh;0.280xw,0.389xh&resize=1200:*",Lexus,2024,Japan
Lexus LX,1,Petrol,5663,8,8.0,Automatic,93.0,SUV,5.0,96667,96667,530.0,3200,362.0,5600,https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/content/catalogue/lx/2025/gallery/lexus-2025-lx-700h-executive-vip-atomic-silver-tile-s.jpg?ck=03012025080056,Lexus,2022,Japan
Lexus NX,1,Petrol,2487,4,5.0,Automatic,55.0,SUV,4.0,72111,79556,239.0,4500,187.74,6000,https://i.gaw.to/content/photos/31/51/315178_2018_Lexus_NX.jpg,Lexus,2023,Japan
Lexus RX,5,Petrol,3456,6,5.0,Automatic,65.0,SUV,5.0,8067,8067,335.0,4600,258.81,6000,https://media.ed.edmunds-media.com/lexus/rx/2025/oem/2025_lexus_rx_4dr-suv_350-f-sport-handling_fq_oem_1_1600.jpg,Lexus,2024,Japan
MG Astor,101,Petrol,1349,3,5.0,Automatic,45.0,SUV,4.5,11356,20144,220.0,3600,138.08,5600,https://imgd.aeplcdn.com/1056x594/n/itqp3ab_1672821.jpg?q=80,MG,2022,UK
